inxi 3.3.35.1-1
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jdk17-openjdk 17.0.11.u9-1
jfsutils 1.1.15-9
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kaccounts-integration 24.05.1-1
kaccounts-providers 24.05.1-1
kactivities-stats5 5.116.0-1
kactivities5 5.116.0-1
kactivitymanagerd 6.0.5-1
kamera 24.05.1-1
karchive 6.3.0-1
karchive5 5.116.0-1
kate 24.05.1-1
kauth 6.3.0-1
kauth5 5.116.0-1
kbd 2.6.4-1
kbookmarks 6.3.0-1
kbookmarks5 5.116.0-1
kcalc 24.05.1-1
kcmutils 6.3.0-1
kcmutils5 5.116.0-1
kcodecs 6.3.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorpicker-qt5 0.3.1-4
kcolorscheme 6.3.0-1
kcompletion 6.3.0-1
kcompletion5 5.116.0-1
kconfig 6.3.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.3.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.3.0-1
kcontacts5 5.116.0-1
kcoreaddons 6.3.0-1
kcoreaddons5 5.116.0-1
kcrash 6.3.0-1
kcrash5 5.116.0-1
kdbusaddons 6.3.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.0.5-1
kde-gtk-config 6.0.5-1
kdeclarative 6.3.0-1
kdeclarative5 5.116.0-1
kdeconnect 24.05.1-1
kdecoration 6.0.5-1
kded 6.3.0-1
kded5 5.116.0-1
kdegraphics-mobipocket 24.05.1-1
kdegraphics-thumbnailers 24.05.1-1
kdelibs4support 5.116.0-1
kdenetwork-filesharing 24.05.1-1
kdeplasma-addons 6.0.5-1
kdesu 6.3.0-1
kdesu5 5.116.0-1
kdiff3 1.11.1-1
kdnssd 6.3.0-1
kdnssd5 5.116.0-1
kdoctools 6.3.0-1
kdoctools5 5.116.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.05.1-1
kemoticons 5.116.0-1
keyutils 1.6.3-2
kfilemetadata 6.3.0-1
kfilemetadata5 5.116.0-1
kfind 24.05.1-1
kgamma 6.0.5-1
kglobalaccel 6.3.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.0.5-1
kguiaddons 6.3.0-1
kguiaddons5 5.116.0-1
khelpcenter 24.05.1-1
kholidays 1:6.3.0-1
kholidays5 1:5.116.0-1
khotkeys 5.27.11-1
khtml 5.115.0-1
ki18n 6.3.0-1
ki18n5 5.116.0-1
kicad 8.0.3-1
kiconthemes 6.3.0-1
kiconthemes5 5.116.0-1
kidletime 6.3.0-1
kidletime5 5.116.0-1
kimageannotator 0.7.1-3
kimageannotator-qt5 0.7.1-3
kimageformats5 5.116.0-1
kinfocenter 6.0.5-1
kinit 5.116.0-1
kio 6.3.0-1
kio-extras 24.05.1-1
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.3.0-1
kirigami-addons 1.2.1-1
kirigami-addons5 0.11.0-7
kirigami2 5.116.0-1
kitemmodels 6.3.0-1
kitemmodels5 5.116.0-1
kitemviews 6.3.0-1
kitemviews5 5.116.0-1
kitty 0.35.1-1
kitty-shell-integration 0.35.1-1
kitty-terminfo 0.35.1-1
kjobwidgets 6.3.0-1
kjobwidgets5 5.116.0-1
kjs 5.115.0-1
kmenuedit 6.0.5-1
kmod 32-1
knewstuff 6.3.0-1
knewstuff5 5.116.0-1
knotifications 6.3.0-1
knotifications5 5.116.0-1
knotifyconfig 6.3.0-1
knotifyconfig5 5.116.0-1
konsole 24.05.1-1
kpackage 6.3.0-1
kpackage5 5.116.0-1
kparts 6.3.0-1
kparts5 5.116.0-1
kpeople 6.3.0-1
kpeople5 5.116.0-1
kpeoplevcard 0.1-2
kpipewire 6.0.5-1
kpmcore 24.05.1-1
kpty 6.3.0-1
kpty5 5.116.0-1
kquickcharts 6.3.0-1
kquickcharts5 5.115.0-1
krb5 1.21.2-2
krunner 6.3.0-1
krunner5 5.115.0-4
ksanecore 24.05.1-1
ksanecore5 24.05.1-1
kscreen 6.0.5-1
kscreenlocker 6.0.5-1
kservice 6.3.0-1
kservice5 5.116.0-1
ksshaskpass 6.0.5-1
kstatusnotifieritem 6.3.0-1
ksvg 6.3.0-2
ksystemlog 24.05.1-1
ksystemstats 6.0.5-1
ktexteditor 6.3.0-1
ktexteditor5 5.116.0-1
ktexttemplate 6.3.0-1
ktextwidgets 6.3.0-1
ktextwidgets5 5.116.0-1
kunitconversion 6.3.0-1
kunitconversion5 5.116.0-1
kuserfeedback 6.3.0-1
kwallet 6.3.0-1
kwallet-pam 6.0.5-1
kwallet5 5.116.0-1
kwalletmanager 24.05.1-1
kwayland 6.0.5-1
kwayland-integration 6.0.5-1
kwayland5 5.116.0-1
kwidgetsaddons 6.3.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.0.5-2
kwindowsystem 6.3.0-1
kwindowsystem5 5.116.0-1
kwrited 6.0.5-1
kxmlgui 6.3.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-5
layer-shell-qt 6.0.5-1
lazydocker 0.23.3-1
lazygit 0.42.0-1
lcms2 2.16-1
ldb 2:2.9.0-3
ldns 1.8.3-2
less 1:643-2
lib32-alsa-lib 1.2.12-1
lib32-at-spi2-core 2.52.0-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-2
